nom,prenom,age,taille,poids,sexe,sport_licence,niveau_etude,region,smoker,nationalité_francaise,revenu_estime_mois,situation_familiale,historique_credits,risque_personnel,date_creation_compte,score_credit,loyer_mensuel,montant_pret
Erickson,Mark,23,167.5,68.7,H,non,doctorat,Provence-Alpes-Côte d’Azur,non,non,3428,divorcé,,0.94,2022-01-12,,558.31,
Wood,Kenneth,73,182.7,92.4,H,non,doctorat,Bretagne,oui,oui,2144,divorcé,,0.97,2021-12-15,,5000.0,
Day,Lisa,31,169.6,56.4,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,1190,veuf,,0.09,2024-06-22,,5000.0,
Thompson,Curtis,49,157.3,85.9,H,non,master,Corse,non,oui,3252,marié,1.0,0.65,2022-01-26,,1113.67,
Hernandez,Michelle,64,169.6,67.6,F,oui,aucun,Auvergne-Rhône-Alpes,oui,oui,2719,marié,2.0,0.96,2021-09-24,,10000.0,
Stewart,Ryan,45,155.1,110.8,H,oui,doctorat,Île-de-France,oui,oui,4867,veuf,2.0,0.15,2021-12-24,675.0,,
Holt,Aaron,38,163.5,60.8,H,oui,bac,Occitanie,oui,non,2603,célibataire,4.0,0.98,2025-01-12,794.0,5000.0,40000.0
Hall,Joe,20,166.7,47.2,H,non,bac,Île-de-France,non,non,685,veuf,0.0,0.84,2024-06-13,,1488.71,
Perkins,Kenneth,54,166.0,63.5,H,oui,doctorat,Corse,oui,non,2094,célibataire,,0.13,2020-05-29,685.0,5000.0,40000.0
Weaver,Johnathan,71,176.9,77.3,H,oui,bac,Occitanie,oui,non,2095,veuf,,0.87,2020-12-20,,612.98,
Brown,Thomas,21,166.9,72.6,F,oui,master,Occitanie,oui,oui,1883,divorcé,,0.45,2025-04-21,,,
Calhoun,Mackenzie,22,175.9,61.3,F,oui,bac,Auvergne-Rhône-Alpes,non,oui,4643,veuf,,0.68,2023-07-11,,5000.0,
Davis,Heidi,53,152.6,58.6,H,non,bac,Île-de-France,non,non,2967,divorcé,,0.91,2021-06-03,791.0,,
Taylor,Mark,74,169.0,73.2,H,non,master,Auvergne-Rhône-Alpes,oui,oui,5294,veuf,,0.28,2025-01-23,518.0,682.19,40000.0
Velasquez,Barbara,47,173.4,96.2,F,oui,doctorat,Occitanie,non,oui,3293,divorcé,,0.6,2021-05-21,,5000.0,
Berg,Rachel,54,184.7,67.3,F,non,bac,Provence-Alpes-Côte d’Azur,non,oui,2729,,,0.46,2022-08-13,,860.39,
Schaefer,Donna,66,171.6,46.5,F,non,aucun,Auvergne-Rhône-Alpes,non,non,1883,,,0.33,2024-02-14,,10000.0,
Meyer,Steven,33,180.3,58.4,F,non,doctorat,Auvergne-Rhône-Alpes,non,oui,893,divorcé,,0.87,2020-08-21,506.0,5000.0,40000.0
Patel,Tammy,54,184.2,41.8,F,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,3407,marié,1.0,0.38,2020-05-23,,5000.0,
Thomas,Kayla,34,171.3,93.9,H,non,master,Auvergne-Rhône-Alpes,non,oui,2176,,,0.1,2021-05-18,,,
Garza,Mark,32,160.4,71.9,F,non,aucun,Occitanie,oui,oui,872,veuf,1.0,0.44,2020-02-29,,10000.0,
Garcia,Anthony,24,169.2,60.7,F,non,doctorat,Occitanie,oui,oui,1804,divorcé,,0.85,2021-09-17,376.0,10000.0,40000.0
Leonard,Matthew,36,170.4,83.9,H,oui,bac,Corse,non,oui,1717,célibataire,,0.25,2022-12-12,605.0,10000.0,40000.0
Ray,Brian,67,190.6,65.6,F,non,bac,Occitanie,non,non,2371,marié,,0.51,2020-01-02,733.0,5000.0,40000.0
Johnson,Jeffrey,19,166.2,90.5,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,2976,,1.0,0.87,2023-07-11,,10000.0,
Joseph,Bryce,34,171.5,91.2,F,non,master,Provence-Alpes-Côte d’Azur,oui,non,1991,célibataire,,0.9,2023-08-05,,5000.0,
Bartlett,Amy,52,162.4,111.3,H,oui,bac+2,Auvergne-Rhône-Alpes,oui,non,4307,marié,5.0,0.1,2020-10-28,494.0,848.96,40000.0
Weaver,Walter,46,162.6,53.1,F,non,master,Provence-Alpes-Côte d’Azur,non,oui,3153,,3.0,0.1,2022-12-07,,5000.0,
Crawford,Stacey,62,174.8,99.9,H,oui,bac,Bretagne,oui,non,500,divorcé,,0.43,2020-01-13,,544.85,
King,Laura,22,176.8,79.9,H,non,bac+2,Normandie,oui,non,4869,,,0.75,2025-01-16,627.0,5000.0,40000.0
Frederick,Devin,38,194.9,94.7,H,non,aucun,Corse,non,oui,2408,célibataire,,0.47,2025-01-27,502.0,5000.0,40000.0
Jones,Jeanne,75,168.7,66.7,H,non,doctorat,Occitanie,non,oui,1097,célibataire,,0.32,2022-05-09,,1139.11,
Terry,Brian,42,165.4,85.2,F,oui,master,Auvergne-Rhône-Alpes,non,oui,1998,,,0.26,2020-04-26,,10000.0,
Dorsey,Lisa,46,171.5,63.4,F,non,aucun,Occitanie,oui,oui,1995,marié,,0.72,2020-04-13,,598.29,
Clark,Carol,41,160.8,65.3,H,non,bac+2,Hauts-de-France,oui,oui,3947,divorcé,5.0,0.39,2025-05-13,475.0,873.95,40000.0
Austin,Michael,47,177.4,76.1,H,non,aucun,Normandie,oui,oui,3702,veuf,,0.25,2021-02-07,,5000.0,
May,Crystal,22,165.2,46.9,F,non,aucun,Occitanie,oui,oui,2483,marié,4.0,0.32,2023-03-30,750.0,,
Crawford,Cynthia,32,167.9,50.8,H,non,aucun,Auvergne-Rhône-Alpes,oui,non,1129,,1.0,0.5,2021-03-02,,,
Jenkins,Joshua,26,168.3,74.1,H,non,master,Île-de-France,oui,oui,3082,divorcé,,0.04,2021-03-23,761.0,10000.0,40000.0
Jones,Patricia,50,175.9,74.9,F,oui,bac+2,Île-de-France,non,oui,2216,célibataire,0.0,0.89,2021-11-04,,10000.0,
Snyder,Edward,64,158.8,70.6,F,oui,doctorat,Corse,oui,non,1412,divorcé,,0.23,2022-01-15,,5000.0,
Lindsey,Victoria,42,154.1,71.9,H,oui,master,Occitanie,oui,oui,2348,veuf,,0.48,2022-06-14,729.0,,
Banks,Michael,49,162.1,53.1,F,non,bac,Provence-Alpes-Côte d’Azur,oui,non,2930,divorcé,,0.85,2021-06-14,577.0,5000.0,40000.0
Stewart,Jacob,54,166.1,54.8,F,non,aucun,Corse,non,non,4113,célibataire,,0.35,2021-01-16,803.0,10000.0,40000.0
Moss,Pamela,30,181.5,89.3,H,oui,bac+2,Normandie,oui,non,3830,célibataire,,0.15,2020-07-27,839.0,,
Lopez,Mark,37,174.4,87.3,H,oui,master,Hauts-de-France,non,oui,1989,,0.0,0.29,2022-07-07,828.0,10000.0,40000.0
Hansen,Denise,36,171.4,65.9,F,oui,bac,Hauts-de-France,non,non,2638,célibataire,,0.29,2022-09-23,,1067.99,
Matthews,Gerald,21,169.9,47.3,F,oui,master,Île-de-France,oui,oui,2724,divorcé,5.0,0.53,2023-03-08,697.0,5000.0,40000.0
Campbell,Tanner,36,161.9,79.7,F,oui,aucun,Hauts-de-France,oui,oui,2632,marié,1.0,0.44,2020-02-23,652.0,979.24,40000.0
Roach,Tanya,45,173.8,63.9,H,oui,master,Bretagne,oui,oui,2772,marié,,0.83,2025-01-14,,5000.0,
Carpenter,Tonya,39,163.8,74.4,F,non,aucun,Île-de-France,oui,oui,3476,veuf,1.0,0.25,2025-04-23,474.0,10000.0,40000.0
Gordon,Mark,32,153.1,36.9,F,non,doctorat,Corse,non,non,3587,divorcé,4.0,0.33,2020-06-18,,5000.0,
Baker,Brett,71,188.2,67.8,H,oui,bac,Provence-Alpes-Côte d’Azur,non,non,1359,divorcé,5.0,0.33,2020-07-11,,10000.0,
Reyes,Ryan,18,177.7,63.5,F,non,aucun,Bretagne,oui,oui,2545,célibataire,,0.62,2020-03-01,,5000.0,
Hawkins,Sharon,28,182.3,51.7,F,oui,doctorat,Hauts-de-France,oui,non,500,célibataire,,0.11,2021-09-07,,,
Flores,Mark,60,183.3,68.5,F,non,aucun,Île-de-France,oui,oui,1673,divorcé,,0.59,2023-01-17,,10000.0,
Sparks,Diane,20,168.5,98.1,F,oui,master,Occitanie,oui,non,1195,marié,,0.94,2020-04-02,,713.86,
Harper,Krystal,20,181.1,57.3,F,oui,master,Occitanie,non,oui,3724,veuf,,0.48,2020-04-30,726.0,5000.0,40000.0
Cross,Kimberly,38,182.6,48.8,F,oui,bac+2,Auvergne-Rhône-Alpes,non,oui,3020,marié,3.0,0.23,2025-03-06,,,
Garcia,Bobby,75,181.4,59.9,H,non,bac+2,Bretagne,non,non,3212,,5.0,0.87,2022-12-28,572.0,5000.0,40000.0
